,Education,Never went to school or completed primary school,Completed primary education,Completed Junior Certificate,Completed Leaving Certficicate,Completed Third Level Education,Not known,
2004,Cork,~,174,359,262,69,263,1129
2004,Clare,0,16,39,37,9,37,138
2004,Cavan,0,19,22,17,~,49,110
2004,Carlow,0,68,112,84,5,44,313
2004,Dublin,70,982,1275,370,50,944,3691
2004,Donegal,~,106,140,104,48,73,474
2004,Galway,~,20,34,23,5,44,127
2004,Kilkenny,~,59,88,68,16,56,289
2004,Kildare,~,50,70,58,18,164,361
2004,Kerry,~,41,88,84,19,37,270
2004,Limerick,~,83,114,82,25,85,390
2004,Longford,0,13,9,17,~,12,54
2004,Louth,0,20,84,22,5,97,228
2004,Leitrim,0,13,24,17,~,8,64
2004,Laois,0,23,42,26,~,64,158
2004,Meath,0,34,81,38,10,87,250
2004,Monaghan,0,9,19,18,6,28,80
2004,Mayo,0,~,~,~,~,29,39
2004,Offaly,~,50,50,49,9,44,203
2004,Roscommon,~,~,5,~,~,16,30
2004,Sligo,0,30,69,73,13,52,237
2004,Tipperary,0,75,126,99,22,72,394
2004,Waterford,~,126,125,65,12,89,421
2004,Westmeath,0,32,39,33,10,96,210
2004,Wicklow,0,26,55,22,~,45,151
2004,Wexford,~,119,125,87,17,53,404
2004,Outside Ireland,0,~,~,5,~,15,26
2004,Address unknown Ireland,0,~,6,5,~,110,125
2004,Totals,90,2199,3205,1769,390,2713,10366
2005,Cork,16,172,464,327,62,304,1345
2005,Clare,0,13,37,50,12,48,160
2005,Cavan,~,15,21,26,5,28,96
2005,Carlow,5,59,92,57,12,38,263
2005,Dublin,141,1040,1350,386,61,1015,3993
2005,Donegal,5,120,99,83,40,45,392
2005,Galway,~,36,38,32,6,52,166
2005,Kilkenny,~,55,107,82,11,54,310
2005,Kildare,9,52,112,61,12,147,393
2005,Kerry,6,37,103,101,25,43,315
2005,Limerick,0,79,105,102,25,75,386
2005,Longford,~,21,24,16,~,15,79
2005,Louth,~,35,71,30,8,131,278
2005,Leitrim,~,22,10,20,6,35,94
2005,Laois,~,21,39,16,~,36,118
2005,Meath,~,64,85,56,14,64,287
2005,Monaghan,~,9,25,12,~,18,68
2005,Mayo,0,6,13,5,~,38,63
2005,Offaly,7,44,56,44,10,11,172
2005,Roscommon,0,6,~,7,~,19,37
2005,Sligo,~,42,50,46,10,107,257
2005,Tipperary,6,89,140,93,14,68,410
2005,Waterford,7,174,135,126,18,57,517
2005,Westmeath,7,35,34,21,5,61,163
2005,Wicklow,~,42,63,21,6,48,182
2005,Wexford,12,132,142,120,24,53,483
2005,Outside Ireland,0,5,7,8,~,11,34
2005,Address unknown Ireland,~,6,5,5,0,69,86
2005,Totals,242,2431,3431,1953,400,2690,11147
2006,Cork,10,185,395,308,89,263,1250
2006,Clare,~,15,40,43,10,51,160
2006,Cavan,~,25,42,41,21,88,220
2006,Carlow,~,27,50,32,11,45,167
2006,Dublin,140,925,1079,393,79,1459,4075
2006,Donegal,~,139,125,112,56,64,500
2006,Galway,~,34,55,35,7,34,167
2006,Kilkenny,~,52,114,80,19,63,331
2006,Kildare,5,51,113,105,22,177,473
2006,Kerry,10,38,85,72,25,32,262
2006,Limerick,6,103,101,94,17,69,390
2006,Longford,~,18,18,20,~,21,83
2006,Louth,~,52,125,51,14,125,370
2006,Leitrim,0,~,7,12,0,59,82
2006,Laois,5,16,26,13,6,28,94
2006,Meath,6,75,128,69,19,102,399
2006,Monaghan,~,18,16,14,~,27,81
2006,Mayo,0,6,14,9,~,37,67
2006,Offaly,5,45,41,31,5,23,150
2006,Roscommon,0,10,16,8,~,11,46
2006,Sligo,~,49,66,56,10,72,256
2006,Tipperary,6,84,161,113,15,41,420
2006,Waterford,15,131,163,154,26,62,551
2006,Westmeath,15,34,78,61,11,61,260
2006,Wicklow,5,44,73,36,16,46,220
2006,Wexford,11,177,186,127,28,77,606
2006,Outside Ireland,~,~,15,11,5,17,51
2006,Address unknown Ireland,18,13,12,9,~,117,171
2006,Totals,285,2372,3344,2109,521,3271,11902
2007,Cork,20,211,447,414,112,263,1467
2007,Clare,~,31,55,63,12,39,201
2007,Cavan,~,26,64,69,18,120,300
2007,Carlow,~,26,49,35,5,40,156
2007,Dublin,199,1161,1345,511,142,1184,4542
2007,Donegal,8,165,191,125,63,64,616
2007,Galway,6,71,119,108,43,116,463
2007,Kilkenny,~,46,101,99,21,50,321
2007,Kildare,5,64,117,76,21,142,425
2007,Kerry,~,52,92,104,33,27,311
2007,Limerick,18,137,165,148,40,141,649
2007,Longford,6,24,26,26,5,16,103
2007,Louth,~,53,91,69,29,96,339
2007,Leitrim,~,6,7,10,5,59,88
2007,Laois,~,23,28,21,6,37,119
2007,Meath,8,69,114,83,24,115,413
2007,Monaghan,~,22,31,26,5,33,118
2007,Mayo,~,13,31,43,14,65,167
2007,Offaly,~,36,53,40,10,25,167
2007,Roscommon,0,17,24,16,~,30,91
2007,Sligo,~,53,64,62,18,89,287
2007,Tipperary,6,104,168,158,28,67,531
2007,Waterford,5,85,171,127,24,67,479
2007,Westmeath,9,76,99,77,14,41,316
2007,Wicklow,5,47,79,52,8,74,265
2007,Wexford,11,150,203,161,31,91,647
2007,Outside Ireland,0,~,12,16,13,22,67
2007,Address unknown Ireland,5,~,5,5,~,170,190
2007,Totals,335,2775,3951,2744,750,3283,13838
2008,Cork,28,210,586,357,118,275,1574
2008,Clare,0,14,62,40,20,29,165
2008,Cavan,14,23,53,32,18,104,244
2008,Carlow,5,42,51,49,9,37,193
2008,Dublin,288,1413,1762,676,201,987,5327
2008,Donegal,18,150,185,140,65,93,651
2008,Galway,27,88,204,170,60,109,658
2008,Kilkenny,5,37,118,98,22,55,335
